no,atlas_index,video_id,title,duration_min,duration_band,series,topics,cat_signal_score,book_part_candidate,book_conversion,url
36,133,G3OgUmv8Zmk,돈이 2배 이상 들어도 고양이 한 마리는 싫은 이유 | 미야옹서베이,10.62,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=G3OgUmv8Zmk
37,143,AlupTkiLCA0,나도 모르게 고양이를 불행하게 만드는 행동,7.98,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=AlupTkiLCA0
38,146,PEXQCtSbONY,생강은 사오지 말고 오징어는 사오라는 고양이ㅣ밈야옹철의 짤밈분석,8.78,standard,밈야옹철의 짤밈분석,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=PEXQCtSbONY
39,149,yZnHUjk-GWY,고양이 키우는 사람들의 소름돋는 공통점 | 미야옹서베이,10.17,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=yZnHUjk-GWY
40,150,My6ybvVAiVk,지난 6년간 미야옹철의 냥냥펀치에게 보내주신 사랑…,10.08,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=My6ybvVAiVk
41,152,81j05uHEhoU,꾹꾹이로 사람 차별하는 고양이..왜 나한텐 안해주는데!!,12.28,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=81j05uHEhoU
42,153,a6y6qwRwBAE,우리집 고양이는 나를 좋아할까?,6.07,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=a6y6qwRwBAE
43,161,KKApQVZnFxU,(충격) 수의사 속터지는 릴스 고양이의 진실ㅣ밈야옹철의 짤밈분석,7.28,standard,밈야옹철의 짤밈분석,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=KKApQVZnFxU
44,166,oO38sHvNDrg,눈떠보니 집사가 수의사...? 묘생역전 길출신 고양이의 사연,8.23,standard,단발/일반,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사, LIFE-STORY 서사/상담",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=oO38sHvNDrg
45,169,tW0sbcqU_cs,고양이 키우는 사람은 강아지 싫어하나요?,6.28,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=tW0sbcqU_cs
46,170,8wzqoO9IWf8,극악의 상황! 미야옹철의 선택은?,6.37,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=8wzqoO9IWf8
47,173,4XDK6azZANE,귀여운걸 보면 깨물어주고 싶고 화가 나는 과학적인 이유,5.3,standard,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=4XDK6azZANE
48,175,yz-EaGvRS1Q,간택하는 고양이는 관상이 따로 있다? 고양이 관상가 미야옹철,8.37,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=yz-EaGvRS1Q
49,182,6LxHOcvSsAI,고양이가 “이 행동”을 한다면 동물병원 가셔야 합니다,10.37,standard,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄, HEALTH-CHECK 건강 관찰",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=6LxHOcvSsAI
50,183,5CiVhHxM3_4,"고양이의, 고양이에 의한, 고양이를 위한 미야옹철의 하루",7.33,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=5CiVhHxM3_4
51,185,nOKOkOBaUS4,충격! 고양이가 자는 위치의 의미 | 미야옹서베이,8.62,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=nOKOkOBaUS4
52,192,0GHFLZ7OqrA,레전드 아깽이들의 비밀ㅣ밈야옹철의 짤밈분석,6.72,standard,밈야옹철의 짤밈분석,"LIFE-STORY 서사/상담, CAT-SIGNAL 행동 신호",1,Part 1. 웃다가 배우는 고양이 생활,웃긴 제목의 긴장을 짧은 생활 서사로 재배치,https://www.youtube.com/watch?v=0GHFLZ7OqrA
53,193,XgTbOIR4UJA,"SUB) 저는 고양이를 위해 ""이걸"" 매일할 수 있어요ㅣ미야옹철의 가정방문 스텔라장 편",13.47,deep-dive,미야옹철의 가정방문 스텔라장 편,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=XgTbOIR4UJA
54,197,pU_AIbLO9C0,고양이 안 키우는 사람들의 솔직한 이야기 | 미야옹서베이,6.78,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=pU_AIbLO9C0
55,201,VV-bv3tz3Cs,인데 고양이 없는 사람도 좋아하는 것,1.58,short-form 일반영상,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=VV-bv3tz3Cs
56,206,as6QgH7b_-I,SUB) 전국 고양이 집사들은 이 12살 소년을 본받아야 합니다ㅣ미야옹철의 가정방문 오레오래치즈 편,10.88,standard,미야옹철의 가정방문 오레오래치즈 편,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=as6QgH7b_-I
57,212,5B3olseTKu8,"집사는 몰랐던, 고양이가 싫어하는 의외의 소리 TOP 6",8.15,standard,단발/일반,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=5B3olseTKu8
58,222,YkYwJ9ww0-I,귀 안들리는 보호자를 위해 고양이가 선택한 방법ㅣ밈야옹철의 짤밈분석,6.7,standard,밈야옹철의 짤밈분석,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=YkYwJ9ww0-I
59,225,lStn8zvbJfY,(감동주의) 서로에게 구원이 되어준 냥줍 이야기ㅣ미야옹철의 가정방문 뚜리뚜바랑 편,11.4,standard,미야옹철의 가정방문 뚜리뚜바랑 편,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=lStn8zvbJfY
60,227,ls2_hbBwzNY,큰언니만 싫어하는 고양이의 진실…보름이 언어통역!,10.37,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=ls2_hbBwzNY
61,237,z886hW6vNnw,sub) 임보냥이 오면 첫째냥은 무조건 스트레스 받을까?ㅣ미야옹철의 가정방문 쫀떡이 편,12.42,deep-dive,미야옹철의 가정방문 쫀떡이 편,CAT-SIGNAL 행동 신호,3,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=z886hW6vNnw
62,239,kuoM0BUiM_M,고양이가 죽기 전에 보이는 의외의 8가지 행동,13.33,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=kuoM0BUiM_M
63,247,pjz4ycfF_zk,“이걸” 한다면 수속성 고양이 확정! (feat. 미야옹철 수의사),1.43,short-form 일반영상,단발/일반,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=pjz4ycfF_zk
64,248,KisGxxtIk6I,눈만 핥는 이상한 고양이 😂 😂,1.82,short-form 일반영상,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=KisGxxtIk6I
65,253,pMUYSKL3PcE,고양이는 단맛 못느낀다는데 왜 이렇게 수박을 좋아할까🍉,14.63,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=pMUYSKL3PcE
66,254,zqE_o46y8y0,혹시 코로나도 경력직 인정되나요? 미야옹철 재확진 격리 vlog,7.25,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=zqE_o46y8y0
67,263,BsdfUZK-Loo,애교쟁이 호섭처남이 침대 밑에서 안 나오게 된 사연은? 미야옹철의 솔루션 출동!,8.1,standard,단발/일반,"CAT-SIGNAL 행동 신호, LIFE-STORY 서사/상담",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=BsdfUZK-Loo
68,268,olaimpqWS6s,고양이 이물섭취시 생사를 가르는 보호자의 행동 4가지!,10.17,standard,단발/일반,"RELATIONSHIP 관계/합사, CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",1,Part 5. 같이 산다는 것의 거리,사람의 욕심과 고양이의 속도 대비 -> 선택권 체크,https://www.youtube.com/watch?v=olaimpqWS6s
69,279,Tl2oC13DgK8,놀랍습니다! 돌덩이가 고양이 모래로 변하는 과정! 국내최초 블랜딩 모래 제작공정 full공개 🪨🔨(feat.갈취왕 미야옹철),9.28,standard,단발/일반,"LITTER-LOG 배변/화장실, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=Tl2oC13DgK8
70,283,CcsOW6UXDdM,sub) 눈나! 전화 좀 받아바! 한국말하는 고양이 호섭이 통역,13.43,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=CcsOW6UXDdM
71,286,nIN29SLfC6I,고양이가 꾹꾹이 하는데 🌶가…괜찮나요?,12.17,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=nIN29SLfC6I
72,288,6yCJiYF1-Yk,고양이 프로그램 경력 n년이면 집사왕인가요? 응 아니죠~ 미야옹철의 고부해 피디집 긴급 현장점검,13.23,deep-dive,단발/일반,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=6yCJiYF1-Yk
73,292,VPIGq6S2qQw,sub) 모두가 몰랐던 ‘스즈메의 문단속’고양이 다이진의 속마음과 설정! 제목부터 잘못되었다고..?! 🫢(feat.수의사 미야옹철),10.23,standard,단발/일반,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=VPIGq6S2qQw
74,293,Vf6zdxeyT4k,고양이들이 서로 싸운다면 ‘이것’ 때문입니다! 고양이 싸움 해결,11.1,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=Vf6zdxeyT4k
75,295,yNLd8iIM9NA,내돈내산 미야옹철수의사의 난이도별 먹이퍼즐 추천템 5가지🧩,10.77,standard,단발/일반,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=yNLd8iIM9NA
76,296,IeT0G-dHqdg,보호자가 신상을 좋아하면 고양이도 신상 집착묘가 된다고?🐱💍👑,13.15,deep-dive,단발/일반,"RELATIONSHIP 관계/합사, CAT-SIGNAL 행동 신호",1,Part 5. 같이 산다는 것의 거리,사람의 욕심과 고양이의 속도 대비 -> 선택권 체크,https://www.youtube.com/watch?v=IeT0G-dHqdg
77,300,TbMrJkmBy70,"[v-log] 봄날, 고양이와 책, 빵지순례, 산책길, 완벽했던 미야옹철의 원픽 동네는?!",8.65,standard,v-log,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=TbMrJkmBy70
78,306,tr2iM4OFaNw,내가 유퀴즈를 안나간 이유...미야옹철 눈물의 기자회견(아님) 신변잡기 Q&A 3탄!,15.58,deep-dive,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄, LITTER-LOG 배변/화장실",2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=tr2iM4OFaNw
79,315,jEkxITsyyzk,"맛있는거 먹고 눈물샘 터져 펑펑 우는 고양이,,, 혹시 엄마가 밥 안주니?",11.65,standard,단발/일반,"CARE-ROUTINE 생활 돌봄, CAT-SIGNAL 행동 신호",1,Part 2. 집 안에 놓는 안심,집 안 동선/물건 배치 -> 바로 바꾸는 미션 카드,https://www.youtube.com/watch?v=jEkxITsyyzk
